well,barcode
A1,0999
B1,1003
C1,1004
D1,1005
E1,1006
F1,1007
G1,1008
H1,1009
A2,1010
B2,1011
C2,1012
D2,1013
E2,1014
F2,1015
G2,1016
H2,1017
A3,1018
B3,1019
C3,1020
D3,1021
E3,1022
F3,1023
G3,1024
H3,1025
A4,1026
B4,1027
C4,1028
D4,1029
E4,1030
F4,1031
G4,1032
H4,1033
A5,1034
B5,1035
C5,1036
D5,1037
E5,1038
F5,1039
G5,1040
H5,1041
A6,1042
B6,1043
C6,1044
D6,1045
E6,1046
F6,1047
G6,1048
H6,1049
A7,0007
B7,1051
C7,1052
D7,1053
E7,1054
F7,1055
G7,1056
H7,1057
A8,1058
B8,1059
C8,1060
D8,1061
E8,1062
F8,1063
G8,1064
H8,1065
A9,1066
B9,1067
C9,1068
D9,1069
E9,1070
F9,1071
G9,1072
H9,1073
A10,1074
B10,1075
C10,1076
D10,1077
E10,1078
F10,1079
G10,1080
H10,1081
A11,1082
B11,1083
C11,1084
D11,1085
E11,1086
F11,1087
G11,1088
H11,1089
A12,1090
B12,1091
C12,1092
D12,1093
E12,1094
F12,1095
G12,1096
H12,1097
